Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent,Epic ID,Epic Title
US114: Tested after bugfixes,"**Verify test case**

* Test case designer: tester1
* Date of creation 11.3.2025

**Test description / objective**

Makes sure regression tests work

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA086/)

**Test pre-state**

* Regression testing is setup

**Test steps**

1. Have someone break an old feature
2. Expect regression test to find out that its broken

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",23,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/23,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:37,2025-03-20 14:19:00,,,,user story::proposed,0,0,,
"US102 As a Developer, I want to integrate test automation tools with the Docker CI/CD pipeline so that tests are automatically triggered on new code commits and deployments","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/42)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",24,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/24,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:37,2025-03-20 14:19:00,,Backlog,,user story::proposed,0,0,,
US102: Test automation integrated into the docker CI/CD pipeline,"**Verify test case**

* Test case designer: tester1
* Date of creation 11.3.2025

**Test description / objective**

Makes sure tests run automatically in docker

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA002/)

**Test pre-state**

* Test automation is integrated into the docker CI/CD pipeline

**Test steps**

1. Push code with bugs into docker
2. Expect test to automatically run
3. Expect the test to fail and report back

**Test end-state**

After the test is done, it can be validated that the feature works or doesn't work as intended

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",25,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/25,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:37,2025-03-20 14:19:00,,,,user story::proposed,0,0,,
"US002: As a test engineer, I need the pipeline to automatically run unit tests, integration tests, and other tests so that I can be sure that the system is working well","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/32)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",26,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/26,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:38,2025-03-20 14:19:24,,Sprint 04,,user story::proposed,0,0,,
US002: Pipeline can automatically run all test types,"**Verify test case**

* Test case designer: tester1
* Date of creation 11.3.2025

**Test description / objective**

Make sure CI/CD pipeline works for all test types

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA021/)

**Test pre-state**

* CI/CD pipeline setup for all test types

**Test steps**

1. Deploy code
2. Expect tests to run automatically

**Test end-state**

After the test is done, it can be validated that the feature works or doesn't work as intended

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",27,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/27,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:38,2025-03-20 14:19:24,,,,user story::proposed,0,0,,
Password in URL,"## Summary

https://gitlab.labranet.jamk.fi/replace-with-your-repository/presta-shop-code-x/-/security/vulnerabilities/106174


Steps to reproduce

(How one can reproduce the issue - this is very important)


## What is the current bug behavior?

(What actually happens)


## What is the expected correct behavior?

(What you should see instead)


## Relevant logs and/or screenshots

(Paste any relevant logs - please use code blocks (```) to format console output,
logs, and code as it's very hard to read otherwise.)


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",28,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/28,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:38,2025-03-20 14:26:02,,Backlog,,bug::new,0,0,,
Improper control of filename for include/require statement in PHP program,"## Summary

https://gitlab.labranet.jamk.fi/replace-with-your-repository/presta-shop-code-x/-/security/vulnerabilities/106077


Steps to reproduce

(How one can reproduce the issue - this is very important)


## What is the current bug behavior?

(What actually happens)


## What is the expected correct behavior?

(What you should see instead)


## Relevant logs and/or screenshots

(Paste any relevant logs - please use code blocks (```) to format console output,
logs, and code as it's very hard to read otherwise.)


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",29,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/29,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:38,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
Inconsistent filters,"## Summary

No signal what filters are selected on colors. No ""checkmark"".


Steps to reproduce

Go to browse items, and select a color filter. No checkmark appears


## What is the current bug behavior?

No clear indication what is selected.


## What is the expected correct behavior?

Should show a checkmark to indicate selected filter.


## Relevant logs and/or screenshots

![kuva](/uploads/ab4fe747e007ce10a28a9539b74b96a0/kuva.png)


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",30,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/30,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:38,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
Translation incomplete,"## Summary

When selecting ""Suomi"" as language, some texts stay in English.


Steps to reproduce

Swap language, and go to for example the clothes page.


## What is the current bug behavior?

Language doesn't change.


## What is the expected correct behavior?

Text should be in Finnish.


## Relevant logs and/or screenshots

![kuva](/uploads/59404ad05563189b96d1eb228cd1ab7e/kuva.png)


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",31,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/31,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:38,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
"US001: As an operations engineer, I need the pipeline to deploy the software to different environments (e.g., staging, production) so that updated versions are delivered rapidly and reliably",* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/32),32,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/32,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:39,2025-03-20 14:19:24,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
US001: Deploy software to different environments,"**Verify test case**

* Test case designer: tester1
* Date of creation 14.3.2025

**Test description / objective**

Make sure CI/CD pipeline works for all test types

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA021/)

**Test pre-state**

* CI/CD pipeline setup for all test types

**Test steps**

1. Deploy changes
2. Expect software to deploy to different environments

**Test end-state**

After the test is done, it can be validated that the feature works or doesn't work as intended

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",33,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/33,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:39,2025-03-20 14:19:24,,,,user story::proposed,0,0,,
Uncler password requirements,"## Summary

Did not receive message regarding the type of password needed when creating account.


Steps to reproduce

Create account and begin writing a password.


## What is the current bug behavior?

No indication of recommendations or requirements in password creation.


## What is the expected correct behavior?

Guidelines like, ""should have atleast 8 characters"" etc.


## Relevant logs and/or screenshots

![kuva](/uploads/1779cb17986381aba980b7f86375f01a/kuva.png)


## Possible fixes

(If you can, link to the line of code that might be responsible for the problem)",34,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/34,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:39,2025-03-20 14:26:01,,Backlog,,bug::new,0,0,,
"US126 As a developer I want to spin up a test environment with a single command, so that I can test my code without setting up dependencies manually.","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/42)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",35,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/35,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:39,2025-03-20 14:19:00,,Backlog,,user story::proposed,0,0,,
US126: Test environment with a single command,"**Verify test case**

* Test case designer: tester1
* Date of creation 14.3.2025

**Test description / objective**

Verify that you can make a test environment with a single command

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA217/)

**Test pre-state**

* Necessities to make a test environment is done

**Test steps**

1. Make a test environment with the command
2. Test around
3. Make sure it doesn't go to production

**Test end-state**

After the test is done, it can be validated that the feature works or doesn't work as intended

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",36,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/36,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:39,2025-03-20 14:19:00,,,,user story::proposed,0,0,,
"US004: A a test engineer, I want to trigger specific automated tests once the build process is successful, so I can validate the latest changes without manual coordination or execution.","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/31)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",37,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/37,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:40,2025-03-20 14:19:24,,Sprint 06,,user story::proposed,0,0,,
US004: Trigger specific automated tests after build,"**Verify test case**

* Test case designer: tester1
* Date of creation 14.3.2025

**Test description / objective**

Makes sure the automated tests which are ran can be specified

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA022/)

**Test pre-state**

* All of the above functionalities are set up

**Test steps**

1. Click/run command to run a specific test
2. Expect the test to run
3. Expect a report

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",38,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/38,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:40,2025-03-20 14:19:24,,,,user story::proposed,0,0,,
"US003: As team leader, I would like to be notified when builds fail or when tests fail on the main branch, allowing me to monitor the health of the development process","# Description:

Send an email when

- [ ] build fails
- [ ] test fails

ONLY needs to be done for the **main** branch

## Linked Requirements & Use Cases? 

* [Link to the feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/31)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criteria

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",39,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/39,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:40,2025-03-20 14:19:25,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
US003: Notification when build or test fails on main branch,"**Verify test case**

* Test case designer: tester1
* Date of creation 14.3.2025

**Test description / objective**

Makes sure notifications happen when build or test fails

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA022/)

**Test pre-state**

* All of the above functionalities are set up

**Test steps**

1. Release a build that fails
2. Expect notification
3. Force test to fail
4. Expect notification

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

* The faulty version should be rolled back immediately

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",40,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/40,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:40,2025-03-20 14:19:25,,,,user story::proposed,0,0,,
"US031: As a business owner, I want to easily set up an online store without worrying about technical complexities, so that I can focus on running my business","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/28)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",41,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/41,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:41,2025-03-20 14:19:25,,Sprint 06,,user story::proposed,0,0,,
US031: Set up online store easily,"**Verify test case**

* Test case designer: tester1
* Date of creation 14.3.2025

**Test description / objective**

Makes sure that online store can be setup easily

**Links to requirements or other sources**

* Requirements: [ReqId](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/requirement-specification/)
* Use case: [Use Case](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/templates/template-usecase/)
* Feature: [Feature](https://replace_this_with_your_gitlab_page_link.pages.labranet.jamk.fi/core/20-Requirement-management/FEA031/)

**Test pre-state**

* All of the above functionalities are set up

**Test steps**

1. Set up the online store
2. Evaluate if its technically complex
3. Conclusion should be that it's not

**Test end-state**

After the test is done, it can be validated that the feature is implemented and works

**To be taken into account during test**

**Test result (Pass/Fail Criteria)**

* PASS condition:
  * All of the above expectations happen
* FAIL condition:
  * At least one of the above expectations fail",42,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/42,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:41,2025-03-20 14:19:25,,,,user story::proposed,0,0,,
"US033: As a customer, I want to receive reliable and timely support for any technical issues I encounter, so that I can minimize downtime and maintain a smooth online store experience","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/28)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",43,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/43,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:41,2025-03-20 14:19:25,,Sprint 06,,user story::proposed,0,0,,
"US034: As a business owner, I want to access comprehensive analytics and reoorting on my store's performance, so that i can make informed decisions to improve my business","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/28)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",44,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/44,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:41,2025-03-20 14:19:24,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US212: As a PrestaShop developer, I want to use a pre-configured Docker image that includes all the necessary PHP extensions and libraries for PrestaShop development","## Linked Requirements & Use Cases? 

- [FEA003: Dockerized Service Production](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/29)
- [System requirements for PrestaShop 8](https://devdocs.prestashop-project.org/8/basics/installation/system-requirements/)

*Current [Definition of Done]()*

- [x] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated

--- 

You can download such a container image from: https://gitlab.labranet.jamk.fi/replace-with-your-repository/presta-shop-base-image/container_registry

It includes PrestaShop system requirements like PHP, PHP libraries, and Apache. You can use this container as the base image for other containers by using it as the value of the `FROM` directive in your `Dockerfile`",45,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/45,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:42,2025-03-20 14:23:53,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US211: As a PrestaShop developer, I want to mount my local code into the Docker container to easily make changes and see them reflected immediately","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/29)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",46,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/46,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:42,2025-03-20 14:23:53,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US210: As a PrestaShop developer, I want to easily integrate my preferred database MariaDB, with my local PrestaShop development environment using Docker Compose","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/29)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",47,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/47,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:42,2025-03-20 14:23:53,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
"US094: As a Developer, I would like to use Containers during development","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 
* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/29)


* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",48,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/48,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:43,2025-03-20 14:19:25,,Sprint 04,,user story::proposed,0,0,,
US095: As a service operator I would like to run service in Containers,"# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to the Feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/29)

* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",49,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/49,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:43,2025-03-20 14:19:25,,Sprint 04,,user story::proposed,0,0,,
"US010: As a developer, I want to be notified of critical security vulnerabilities in our dependencies, so that I can quickly update them and minimize our risk","# Description:

* Topic text:  __USER STORY: As a < type of user >, I want < some goal > so that < some reason >__
* Update Issue topic according your story
* Do priorization and weight setting with a team
* Describe a need from customer point of view. 
* Why this is needed? 

## Linked Requirements & Use Cases? 

* [Link to a feature](https://gitlab.labranet.jamk.fi/groups/Replace-with-your-repository/-/epics/47)
* [Link to requirements]()
* [Link to Use Case]()
* [Link to other material]

*Current [Definition of Done]()*

- [ ] Implemented
- [ ] Pair Reviewed
- [ ] Tested
- [ ] Documents updated
- [ ] ? other


## Acceptance Criterias

- [ ] Check if...
- [ ] Check also...
- [ ] Check if...
- [ ] Check if... test case [Link to test case]()
- [ ] Check if...",50,https://gitlab.labranet.jamk.fi/jamkit/project-templates/opf-tt00cd82-core-template-20032025-v3/-/issues/50,Open,project_manager1,narsu,"","",No,No,,2025-03-20 08:52:43,2025-03-20 14:19:25,,Sprint 05 - Gate 2,,user story::proposed,0,0,,
